"","Address","Acres","Value","Building.Type","Sales.Price","Map..","Region","X2014","X2016","X2018","X2020","X2022","sqft","bed","bath"
"663","405 N Randolph St","0.12","$126,100.00 ","Dwelling","$119,000.00 ","17 1 103",2,129500,117400,115400,120100,217400,1672,4,2
"666","406 Enfield Rd","0.28","$226,400.00 ","Dwelling","$228,000.00 ","21 4 8",4,237900,245000,264200,253500,308000,1977,4,3
"667","407 Overlook Cir","0.65","$400,300.00 ","Dwelling","$370,000.00 ","21 1 6",4,201100,191900,182300,184100,431100,2264,4,3
"668","407 Spotswood Dr","0.46","$263,600.00 ","Dwelling","$295,000.00 ","29 1 28A",5,232400,244900,264700,281500,336700,1700,4,2
"670","408 Carruthers St","0.21","$100,300.00 ","Dwelling","$100,000.00 ","17 1 110",2,118100,128600,109000,117600,148900,1280,2,2
"672","408 Enfield Rd","0.28","$194,300.00 ","Dwelling","$194,000.00 ","21 4 9",4,198100,185500,200900,212400,231000,1448,3,2
"674","408 Maury St","0.1","$101,500.00 ","Dwelling","$95,000.00 ","17 1 131",2,105600,114400,118200,115400,146400,1075,2,1
"675","408 Reid St","0.26","$223,300.00 ","Dwelling","$216,000.00 ","15 5 13A",6,229700,255500,257300,282600,310700,2100,4,3
"676","409 Arpia St","0.2","$121,000.00 ","Dwelling","$110,000.00 ","29 7 1",3,129400,115800,118500,125300,188700,1579,3,1
"679","409 Evans Dr","0.09","$153,600.00 ","Dwelling","$160,000.00 ","18 14 9",2,159800,169000,163400,174900,225100,1394,2,1
"681","409 Morningside Dr","0.27","$207,000.00 ","Dwelling","$221,000.00 ","24 11 5",2,119200,209200,233700,222800,298800,1600,2,1
"682","409 Wills Rd","N/A","$238,100.00 ","Dwelling","$230,000.00 ","25 8 26",2,228400,235000,252500,248100,295000,2240,3,3
"684","410 Arpia St","0.18","$85,800.00 ","Dwelling","$79,000.00 ","36 2 4",3,102400,85300,109600,94500,120700,728,2,1
"685","410 Carruthers St","0.21","$127,800.00 ","Dwelling","$141,000.00 ","17 1 111",2,132800,140500,154700,148700,203200,1344,3,1.5
"686","411 Morningside Dr","0.27","$211,200.00 ","Dwelling","$284,000.00 ","24 11 6",2,223600,294500,284200,307400,360300,2543,4,2
"692","413 Morningside Dr","0.24","$198,600.00 ","Dwelling","$167,600.00 ","24 11 7",2,192900,213600,178400,244400,276700,1464,3,2
"693","414 Carruthers St","0.21","$79,300.00 ","Dwelling","$75,000.00 ","17 1 113",2,119700,101700,122500,118500,144200,797,2,1
"694","414 Evans Dr","0.14","$142,700.00 ","Dwelling","$153,500.00 ","18 14 18",2,153900,161900,170300,168100,217600,960,3,2
"699","418 Morningside Dr","0.32","$176,600.00 ","Dwelling","$240,000.00 ","25 4 13",2,151400,218500,179200,196500,264900,1392,3,2
"701","423 Evans Dr","0.15","$126,900.00 ","Dwelling","$103,242.00 ","18 14 5",2,123800,147300,154000,161700,181500,884,3,2
"702","424 Evans Dr","0.168","$191,500.00 ","Dwelling","$195,800.00 ","18 6 11",2,203000,203200,210200,226500,274500,1107,3,2.5
"703","426 Evans Dr","0.184","$204,900.00 ","Dwelling","$216,000.00 ","18 6 10",2,146000,117700,130300,221700,279500,1357,3,2
"705","427 Evans Dr","0.15","$134,300.00 ","Dwelling","$120,678.00 ","18 14 6",2,124600,131500,155800,165800,195000,1019,3,1
"707","428 Morningside Dr","0.275","$155,100.00 ","Dwelling","$99,500.00 ","25 4 18",2,122300,78600,92500,117900,163500,858,2,1
"711","437 W Nelson St","0.169","$87,100.00 ","Dwelling","$85,526.00 ","15 1 26",6,133700,129500,118800,108300,148300,784,2,1
"713","440 Lime Kiln Rd","0.495","$212,300.00 ","Dwelling","$259,000.00 ","15 1 16A",6,260800,275600,296500,258500,358100,1664,3,3
"717","475 E Nelson St","0.15","$124,300.00 ","Dwelling","$112,000.00 ","30 1 3",5,139900,112400,121300,135200,209400,1688,3,2
"718","5 Chamberlain Loop","0.1","$321,800.00 ","Dwelling","$315,000.00 ","39 1 1 30",3,200300,195400,318400,344000,411400,2248,4,2
"719","5 Jordan St","0.23","$217,400.00 ","Dwelling","$165,000.00 ","22 12 1",4,188400,166200,179200,271500,292100,952,2,1.5
"721","5 Rhodes Ct","0.26","$141,900.00 ","Dwelling","$141,000.00 ","14 4 9",4,146900,139000,146000,157600,218700,1554,3,1
"723","5 Stratford Ln","1.946","$1,024,500.00 ","Dwelling","$1,015,000.00 ","15 1 9A3",6,837400,892000,870000,774700,1300000,5421,5,5.5
"729","501 Lime Kiln Rd","0.71","$314,300.00 ","Dwelling","$504,500.00 ","14 3 10",4,320500,269600,298700,364500,558800,2244,2,2
"730","501 Mccorkle Dr","0.14","$125,000.00 ","Dwelling","$135,000.00 ","25 2 8",2,113500,120800,138300,149400,190100,1085,2,1
"731","501 S Main St","0.18","$518,000.00 ","Dwelling","$210,000.00 ","28 21 29",4,473200,464100,537200,560400,745500,3361,5,7
"732","502 Allen Ave","0.11","$95,900.00 ","Dwelling","$160,000.00 ","25 2 18",2,97600,86100,118400,165000,194100,1020,2,1
