"","Address","Acres","Value","Building.Type","Sales.Price","Map..","Region","X2014","X2016","X2018","X2020","X2022","sqft","bed","bath"
"870","812 Thornhill Rd","1.62","$307,900.00 ","Dwelling","$325,000.00 ","34 1 12A",3,335900,331800,359200,331000,425800,2586,4,3
"873","823 Thornhill Rd","0.67","$208,900.00 ","Dwelling","$185,000.00 ","34 3 5",3,225100,222000,258600,238400,310400,1797,4,2
"874","833 Shenandoah Rd","0.4","$262,900.00 ","Dwelling","$255,000.00 ","40 4 2 9",3,272600,289500,259900,280700,371700,2922,4,3
"876","834 Shenandoah Rd","0.49","$227,700.00 ","Dwelling","$265,000.00 ","40 4 3 14",3,237800,226200,233400,281100,337900,2058,3,2
"878","840 Shenandoah Rd","0.82","$275,100.00 ","Dwelling","$319,000.00 ","40 3 3 1",3,292800,300600,301700,341100,417000,3081,4,3
"879","843 Shenandoah Rd","N/A","$211,700.00 ","Dwelling","$207,500.00 ","40 3 1 5",3,250100,208400,224800,244200,322200,2755,5,3
"880","9 Chamberlain Loop","0.084","$319,000.00 ","Twnhse/condo","$255,000.00 ","39 1 1 28",3,236600,290800,322100,332700,397100,2276,4,5
"881","9 Edmondson Ave","0.2","$247,200.00 ","Dwelling","$225,000.00 ","28 21 23",4,238500,259400,234500,253200,355000,2170,3,3
"883","9 Massie St","N/A","$51,400.00 ","Dwelling","$39,000.00 ","17 1 41",2,60400,44000,41400,69100,83400,795,1,1
"885","9 Whitmore St","0.32","$317,600.00 ","Dwelling","$327,000.00 ","28 5 21",3,242800,256900,329100,355800,425000,2340,5,2
"888","901 Sunset Dr","N/A","$338,200.00 ","Dwelling","$330,000.00 ","34 11 44",3,329600,328900,347200,385800,458700,2823,3,3
"889","902 Providence Pl","1","$378,300.00 ","Dwelling","$393,000.00 ","34 7 33",3,363400,365900,371400,426900,459300,2548,5,3
"890","903 Bowyer Ln","0.68","$412,000.00 ","Dwelling","$350,000.00 ","33 2 72",3,497800,377600,367500,409100,583900,4200,5,4
"893","904 Sunset Dr","0.67","$337,900.00 ","Dwelling","$356,000.00 ","33 4 37",3,330600,333100,366600,377100,466900,2415,3,2
"894","905 Ruffner Pl","1.02","$269,600.00 ","Dwelling","$245,000.00 ","39 2 2",3,330800,248800,268300,321100,403500,2600,3,3
"895","905 Sunset Dr","0.95","$357,100.00 ","Dwelling","$325,000.00 ","33 2 65",3,324400,335700,363300,328400,436900,1842,4,2
"896","905 Thornhill Rd","N/A","$330,100.00 ","Dwelling","$449,000.00 ","40 1 1",3,122500,197600,334600,364400,527100,2600,3,2.5
"897","906 Providence Pl","0.45","$328,700.00 ","Dwelling","$299,000.00 ","40 1 2A",3,325300,344200,364600,359700,388500,2526,4,2
"898","907 Shenandoah Rd","0.33","$199,700.00 ","Dwelling","$208,000.00 ","40 2 2 12",3,242600,281200,303300,225600,308000,2915,4,2
"899","907 Sunset Dr","0.67","$473,600.00 ","Dwelling","$372,000.00 ","33 2 74",3,359000,368900,397900,382300,548600,3576,4,2
"900","908 Shenandoah Rd","0.39","$302,200.00 ","Dwelling","$295,000.00 ","40 3 3 11",3,324500,334000,360200,338600,436600,3423,4,5
"901","909 Ruffner Pl","0.37","$196,800.00 ","Dwelling","$196,000.00 ","39 2 3",3,224200,215900,199900,215900,296200,1513,3,2
"903","921 Providence Pl","N/A","$420,500.00 ","Dwelling","$418,000.00 ","33 1 4",3,353300,348400,370500,426200,541900,2640,5,3
"904","923 Thornhill Rd","1","$263,600.00 ","Dwelling","$255,000.00 ","39 1 3",3,241000,155600,264600,258000,294700,1911,4,2.5
"905","931 Thornhill Rd","0.955","$238,800.00 ","Dwelling","$50,000.00 ","39 1 2",3,179000,186200,208100,164400,22500,1668,2,1
